Level,Region,Dataset,Kind,Period,18/19,19/20,20/21,21/22,22/23,23/24,24/25,25/26,26/27
country,BR,Acucar,flow,Apr (1),725011,391830,1008761,687810,128797,582476,771216.0,826564,742247.0
country,BR,Acucar,flow,Apr (2),1408504,1040583,2027549,1538320,940542,999606,1856117.0,848519,1763102.0
country,BR,Acucar,flow,May (1),1891058,1600005,2478993,2414833,1572139,2508210,2586616.0,2438177,2115604.0
country,BR,Acucar,flow,May (2),1262081,1875131,2540420,2614067,2302254,2824184,2724717.0,2914245,2192552.0
country,BR,Acucar,flow,Jun (1),1996337,1845183,2556058,2044809,2251343,2513737,3138744.0,2389747,2324129.0
country,BR,Acucar,flow,Jun (2),2234540,2069420,2740230,2931301,2483213,2699635,3280239.0,2899380,1622665.0
country,BR,Acucar,flow,Jul (1),2314030,2107092,3028636,3007774,2797550,3405491,2966513.0,3403812,3202027.0
country,BR,Acucar,flow,Jul (2),2586550,2542468,3444803,3159784,3525459,3666980,3634366.0,3668965,3020264.0
country,BR,Acucar,flow,Aug (1),1688025,2047404,3235155,3006653,2612832,3448936,3114100.0,3637481,
country,BR,Acucar,flow,Aug (2),2240001,2604297,3024379,2984804,3203607,3590951,3392242.0,3976461,
country,BR,Acucar,flow,Sep (1),2439008,2121976,3306262,2633064,2913670,3129153,3313438.0,3723274,
country,BR,Acucar,flow,Sep (2),1462185,1963181,3043342,2606383,1998287,3600260,3131685.0,3234560,
country,BR,Acucar,flow,Oct (1),1300662,2159934,2874839,1456565,2105657,2598276,2756733.0,2803494,
country,BR,Acucar,flow,Oct (2),1195394,1887917,2034579,1127849,2452099,2748808,2174890.0,2429109,
country,BR,Acucar,flow,Nov (1),1082952,1047679,1503017,894726,1925994,2543154,1325425.0,1267940,
country,BR,Acucar,flow,Nov (2),788587,624363,677777,413420,1303084,1780697,1421432.0,1067324,
country,BR,Acucar,flow,Dec (1),697414,289590,391898,284987,522627,1255514,669011.0,546105,
country,BR,Acucar,flow,Dec (2),292601,270204,271229,237492,384464,357581,412433.0,323582,
country,BR,Acucar,flow,Jan (1),899839,555789,229993,220966,269794,306742,262775.0,282940,
country,BR,Acucar,flow,Jan (2),206944,245338,212579,176213,234083,315686,275874.0,238703,
country,BR,Acucar,flow,Feb (1),100038,161380,193749,167660,219282,297885,302977.0,160357,
country,BR,Acucar,flow,Feb (2),55679,-16006,132761,148686,158428,174079,-14310.0,129603,
country,BR,Acucar,flow,Mar (1),49961,-117442,112306,129229,218899,185472,83561.0,84998,
country,BR,Acucar,flow,Mar (2),26789669,203341,186902,53666,371193,385444,162791.0,139392,
country,BR,Anidro Entradas,flow,Apr (1),1082354,877709,1106705,904486,1080972,876977,1241613.0,1063840,905797.0
country,BR,Anidro Entradas,flow,Apr (2),85714,100387,111280,60642,75833,61556,57511.0,63413,48112.0
country,BR,Anidro Entradas,flow,May (1),54054,133587,83194,51893,97587,71193,79509.0,95805,42183.0
country,BR,Anidro Entradas,flow,May (2),41546,94376,100061,71590,61852,51085,133831.0,83819,53728.0
country,BR,Anidro Entradas,flow,Jun (1),54724,82376,84890,87409,74923,79392,63718.0,57876,56777.0
country,BR,Anidro Entradas,flow,Jun (2),66615,80394,111636,82513,71333,87212,60189.0,60346,85915.0
country,BR,Anidro Entradas,flow,Jul (1),67407,89968,85009,109048,74191,65375,53737.0,68572,72868.0
country,BR,Anidro Entradas,flow,Jul (2),110543,117450,84882,84629,69533,134901,56040.0,61244,47673.0
country,BR,Anidro Entradas,flow,Aug (1),138767,108205,52770,77939,89016,63549,73188.0,104137,
country,BR,Anidro Entradas,flow,Aug (2),175017,91289,98849,94256,65655,66509,82449.0,66111,
country,BR,Anidro Entradas,flow,Sep (1),129098,60309,57008,100919,79963,76818,68212.0,57378,
country,BR,Anidro Entradas,flow,Sep (2),173263,105010,58350,99779,133895,72456,71535.0,100844,
country,BR,Anidro Entradas,flow,Oct (1),113529,71907,87945,134496,110283,84116,103180.0,77286,
country,BR,Anidro Entradas,flow,Oct (2),88132,67054,145205,140794,114861,115653,104403.0,92752,
country,BR,Anidro Entradas,flow,Nov (1),94906,72850,115524,173459,126270,111742,119679.0,96630,
country,BR,Anidro Entradas,flow,Nov (2),82641,111356,189270,146421,152178,110882,129533.0,100231,
